Name,Background,Discussion,Low Standard Conventional,High Standard Conventional,Low Standard International,High Standard International,Low Optimal Conventional,High Optimal Conventional,Low Optimal International,High Optimal International,Standard Unit,International Units,Clinical Implications Low,Clinical Implications High,Other Condtions Low,Other Condtions High,Interfering Factors Falsely Elevated,Interfering Factors Falsely Decreased,Drug Tests,Drug Causes of Decreased Levels,Drug Causes of Increased Levels
ALT,"
ALT is an enzyme present in high concentrations in the liver and to a lesser extent skeletal muscle, the heart, and kidney. ALT will be

liberated into the bloodstream following cell damage or destruction. Any condition or situation that causes damage to the

hepatocytes will cause leakage of ALT into the bloodstream. These include exposure to chemicals, viruses (viral hepatitis,

mononucleosis, cytomegalovirus, Epstein Barr, etc.), alcoholic hepatitis. The most common non-infectious cause of an increased ALT is


a condition called steatosis (fatty liver). ALT levels may be decreased in vitamin B6 deficiency and early stages of fatty liver.","Alanine aminotransferase, or ALT, is the enzyme that catalyzes the conversion of the amino acid L-alanine and a keto-glutarate into pyruvate and L-glutamate, hence the older name SGPT or Serum Glutamate-Pyruvate Transaminase.
ALT is functionally similar to AST; however, in liver problems, it is increased more than AST. ALT is more specific for the detection of biliary tree or liver problems than problems of cardiovascular origin. Levels originating from the liver are due to damage to the hepatocytes or liver cells.
ALT levels tend to take a long time to normalize after an elevation. This is in contrast to AST levels, which will normalize quite quickly after an elevation. This can be used clinically to differentiate a chronic from an acute problem.
ALT levels, due to its concentration in the hepatocytes, are key in monitoring situations that can cause damage to the liver e.g. exposure to chemicals, viral hepatitis, alcoholic hepatitis",6,29,6,29,10,26,10,26,IU/L,IU/L,"B6 Deficiency
B6 deficiency is likely if there is a decreased ALT and a concomitant deficiency in GGT and/or AST, enzymes that also need B6 for optimum activity. B6 deficiency can also impact red blood cell activity leading to a decreased MCV/MCH with a normal serum iron and ferritin level. This situation leads to B6 deficiency anemia.
Fatty liver (steatosis) - early stage
A decreased ALT is associated with liver congestion and the early stage of fatty liver (steatosis). The early stage of fatty liver is possible if the ALT is decreased, the total cholesterol, LDL and triglyceride levels are increased, and HDL levels are decreased.","Dysfunction located inside the liver
If the ALT is increased above the levels of the AST and GGT consider that the problem or area of involvement is possibly inside the liver.
Fatty liver (steatosis)
If the ALT is increased above the AST and GGT levels, liver dysfunction due to fatty liver is probable. Consider it more likely if the LDH and ALP levels are also increased. In advanced steatosis, the ALT levels can be elevated 4 times the upper limit of normal, accompanied by an elevation in AST. ALT is usually greater than the AST level.
Liver dysfunction
An increased ALT is associated with liver dysfunction. Dysfunction in the liver may cause an increase in ALT from hepatocytes.
Biliary tract obstruction
Suspect biliary tract obstruction when the ALT is elevated with increased GGT, total bilirubin, alkaline phosphatase and/or LDH.
Liver infection
When the ALT is elevated above the normal reference range or higher consider that there may be a liver infection. Hepatitis, CMV, EBV,
Infectious mononucleosis, etc. should be ruled out when the ALT is greatly elevated.
Excessive muscle breakdown or turnover
ALT may be elevated when there is excessive muscle breakdown. Conditions such as weight-training and muscular injury can cause elevated levels of ALT to appear in the bloodstream.
Cirrhosis of the liver
An increase in ALT is associated with liver cirrhosis. Suspect liver cirrhosis if ALT is increased along with an increased AST and GGT, with a decreased serum albumin, increased serum ALP, increased serum bilirubin, decreased cholesterol, increased globulin, increased
LDH.
Liver cell damage
Liver damage due to active cellular destruction (i.e. chronic/acute hepatitis, active cirrhosis, infectious mononucleosis, hepatic necrosis, alcoholic hepatitis) will usually result in significantly elevated ALT values (30-50 times higher than normal).","• Protein deficiency
O Malabsorption
• Kidney failure","• Free radical pathology
• Biliary dysfunction
• Metastatic carcinoma
• Pancreatitis
• MI/ Ischemic heart disease
• Alcoholism",Salicylates,Salicylates,,,
ALT : AST," The ALT:AST ratio compares the serum levels of alanine aminotransferase (ALT) and aspartate aminotransferase (AST), two key  hepatic enzymes. This ratio is an indicator of liver enzyme balance and potential metabolic derangements. An elevated ratio is  associated with a possible trend toward insulin resistance and emerging metabolic syndrome. A higher ratio may indicate increased  hepatic fat accumulation or early dysregulation in glucose and lipid metabolism. In such cases, evaluating the patient's broader  metabolic profile-including fasting glucose, lipid panels, and HbAlc-can help refine the risk assessment and inform preventative or  therapeutic strategies. A decrease in the ratio of alanine aminotransferase (ALT) to aspartate aminotransferase (AST) is not clinically   significant.","There is evidence that the ratio of ALT:AST is an indicator of emerging blood sugar dysregulation, especially the emergence of insulin resistance:
""In non-obese subjects, the best marker of insulin resistance was alanine aminotransferase (ALT)/aspartate aminotransferase (AST) ratio of 0.70 (95% confidence interval (CI), 0.63-0.77). In overweight subjects, AUC values for the ALT/AST ratio and ALT were 0.66 (0.59-0.72) and 0.66 (0.59-0.72), respectively. Multiple linear regression analyses for HOMA-IR showed that ALT/AST ratios were independently and significantly associated with HOMA-IR as well as other confounding factors in both non-obese and overweight subjects. The optimal cut-off point to identifying insulin resistance for these markers yielded the following values: ALT/AST ratio of ≥0.82 in non-obese subjects and ≥1.02 in overweight subjects. In non-obese subjects, the positive likelihood ratio was greatest for
ALT/AST ratio.""
""Alanine aminotransferase/aspartate aminotransferase ratio is the best surrogate marker for insulin resistance in non-obese Japanese
adults""
Kawamoto et al. Cardiovascular Diabetology 2012, 11:117
An increasing ratio is also associated with an increased risk of non-alcoholic fatty liver disease and adverse cardiovascular events as well.",0,0.8,0,0.8,0.1,0.78,0.1,0.78,ratio,ratio,"Optimal Metabolic health
A low/optimal ratio of ALT/AST may be a reflection of metabolic health with decreased risk of insulin resistance and related metabolic abnormalities.
Frailty and aging
An extremely low level of ALT may be associated with frailty in older adults, which may, in turn, result in a low ALT/AST ratio.","Insulin resistance
An increasing ratio of ALT to AST is associated with increased risk of insulin resistance in both obese and non-obese individuals as assessed by the ""Homeostatic Model Assessment of Insulin Resistance"" (HOMA2-IR). The ratio of ALT to AST showed a stronger correlation with insulin resistance than ALT and AST alone.
Risk of insulin resistance increased by 1.91 fold with an ALT/AST ratio of 0.82 or above.
The ALT/AST ratio was better at predicting insulin resistance than other components of metabolic syndrome such as low HDL levels and blood pressure.
Metabolic syndrome
An elevated ALT/AST ratio of greater than 1 was observed in a study of 60 subjects with metabolic syndrome. A positive correlation exists independently between fasting blood glucose, fasting insulin, and HOMA-IR. In turn, HOMA-IR is positively correlated with waist circumference, body mass index, blood pressure, triglyceride levels, and ALT.
Metabolic syndrome often manifests as non-alcoholic fatty liver disease which is independently associated with an increasing ALT/AST ratio.
Cardiovascular events
An increasing ALT/AST ratio strongly predicted adverse cardiovascular events in cardiac patients with insulin resistance.
Non-alcoholic fatty liver disease (NAFLD)
The ALT/AST ratio is associated with increased accumulation of fat in the liver and an increasing ratio is considered an indicator of non-alcoholic fatty liver disease. NAFLD is a component of insulin resistance and metabolic syndrome and is in turn in associated with increased risk of oxidative stress, endothelial dysfunction, and adverse cardiovascular events.
An increasing ratio of ALT/AST was associated with an increased incidence of NAFLD in those with hepatitis C.
Obesity
An increasing ALT/AST ratio is associated with a BMI over 25 reflecting overweight or obesity, as well as central obesity manifesting as a waist circumference of =90 cm in males or =80 cm in females.",,,,,,,
Amylase,"Amylase is an enzyme that converts starch into sugar. It is produced primarily in the salivary glands and pancreas. Levels will
increase with inflammation of the pancreas (pancreatitis) or salivary glands. Low levels of amylase are seen with pancreatic
insufficiency, a dysfunction of the pancreas leading to a decreased output of pancreatic enzymes.","Amylase, along with lipase, has traditionally been the go-to biomarker for assessing and diagnosing acute pancreatitis and/or
damage to the pancreas itself.

From a more Functional perspective, we can look at amylase as a biomarker to aid in the detection of pancreatic inflammation
and pancreatic insufficiency.",21,103,21,103,40,86,40,86,U/L,U/L,"Pancreatic Insufficiency

A decreased Amylase is associated with pancreatic insufficiency, a condition of decreased output of pancreatic enzymes.
Other findings include a decreased WBC count, a decreased BUN, a decreased lipase, a decreased albumin, an increased
globulin, and an increased GGTP. One of the most significant contributing factors to pancreatic insufficiency is an
accompanying hypochlorhydria picture.","Pancreatic Inflammation
An increased Amylase is associated with pancreatic inflammation. The higher the number above optimal the greater the
likelihood of a developing or developed pancreatitis.","• Hepatitis 
• Severe Liver Disease
• Cystic fibrosis
• patients with no pancreas","• Obstruction or blockage of the salivary ducts
• Mumps
• Appendicitis
• Peritonitis
• Acute cholecystitis",,,,,
Anion Gap,"The anion gap is the measurement of the difference between the sum of the sodium and potassium levels and the sum of the
serum CO2/bicarbonate and chloride levels. Increased levels are associated with metabolic acidosis.","The anion gap is the measurement of the difference between the sum of the serum cations (sodium and potassium) and the
sum of the serum anions (CO2/bicarbonate and chloride). The difference reflects the concentrations of other extracellular
anions, such as phosphates, sulfates, ketones, proteins and lactic acid. An increase in these unmeasured anions is associated
with acidosis.

An increased anion gap is associated with increased sodium and/or potassium and a decreased CO2 and/or chloride.
A decreased anion gap is associated with decreased sodium and/or potassium and an increased CO2 and/or chloride.
The anion gap is calculated by determining the difference between the sum of sodium and potassium and the sum of

chloride and CO2/bicarbonate.
Anion Gap = (Sodium + Potassium) - (Chloride + CO2)",10,20,10,20,11,16,11,16,mEq/L,mmol/L,"A decreased anion gap is associated with decreased sodium and/or potassium and an increased CO2 and/or chloride. It is
relatively rare finding but can be caused by hypoalbuminemia, low albumin levels in the blood. A relative loss of albumin, a
negatively charged protein, in the serum will cause a relative increase in the other negatively charged ions such as chloride
and bicarbonate thus causing the anion gap to be decreased.","Metabolic Acidosis
Consider metabolic acidosis if the anion gap is increased along with a decreased CO2 and an increased chloride.","• Lithium toxicity
• Increased serum Calcium and/or Magnesium
• Multiple myeloma
• Neoplasm","• Dehydration
• Toxin ingestion
• Diabetes
• Lactic acidosis
• Metabolic acidosis","• Anything that falsely increases chloride or CO2, or falsely decreases sodium or potassium
• Hemolyzed blood - K+ levels are elevated up to 50% of normal with even moderate hemolysis. Making a fist ten times with a tourniquet in place alone may result in an increased level of 10-20%, resulting in a decreased anion gap
• Excessive intake of licorice (herbal)","• Anything that falsely increases chloride or CO2, or falsely decreases sodium or potassium
• Many drugs (Heparin, laxatives, sulphates, etc.)
• High triglycerides or low protein levels can cause artificially low sodium levels resulting in an increased anion gap",,,"• Aspirin
• Diuretics
• Penicillin family of antibiotics
• Also rule out toxins such as Methanol, Ethylene Glycol, Gold, and other heavy metals"
Anti-Mullerian Hormone (AMH),"Anti-Mullerian Hormone (AMH) is secreted by the follicles of the ovaries. It is measured to help assess ovarian function and
evaluate the status of menopause. Elevated AMH levels are associated with a condition called Polycystic Ovarian Syndrome
(PCOS). Decreased levels are associated with infertility, and levels of AMH that decrease over time or there is a significant
decrease may indicate the onset of menopause or that a woman is in menopause.","Anti-Mullerian hormone (AMH) is produced by the ovaries, and levels will vary based on gender and age. Please see the age
variability chart under Ranges. In early in infancy, AMH inhibits the development of female reproductive organs, allowing for
the development of male reproductive organs.

In adulthood, AMH levels may be used to help evaluate female fertility and ovarian reserve; development of male
characteristics in a female; polycystic ovary syndrome (PCOS); elevated antral follicle counts; menopausal status; ovarian
failure; response to treatment in AMH-producing ovarian cancer; and response to ovarian stimulation for in-vitro fertilization.
During menstruation, AMH levels are naturally highest during the follicular phase.

Elevated or high normal levels may be seen with an elevated number of small follicles; PCOS (2- to 5-fold higher than normal
for age); irregular menstrual cycles; anovulation; ovarian tumors; and a positive response to ovarian stimulation for assisted
reproduction, indicating a greater number of eggs available for harvesting.

Decreased or low normal levels may indicate ovarian failure (including that due to chemotherapy); menopause; undesirable
response to ovarian stimulation with a decreased number of eggs available for harvesting. Negative to low levels of AMH ina
female is normal during infancy and after menopause.

Anti-Mullerian hormone levels and fluctuations should be assessed with other hormone biomarkers and relevant testing in
order to provide a comprehensive clinical picture.",0.01,14.63,0.07,104.5,1.1,4,7.86,28.57,ng/mL,pmol/L,"Decreased Levels of AMH Associated with:
Infertility

Menopause

Poor response to fertility treatment","Elevated Levels of AMH Associated with:
Irregular menstruation, anovulation
Polycystic ovary syndrome

Ovarian hyper-stimulation syndrome (OHSS)
Ovarian tumor secretion of AMH",,,,,,,
Apo B : Apo A-1,"Research indicates that evaluating the ratio of ApoB to Apo A-1is a better tool for assessing coronary artery disease than
evaluating traditional lipid biomarkers such as total cholesterol, LDL, HDL, triglycerides, or lipid ratios including total
cholesterol/HDL-C, LDL-C/HDL-C, and Triglyceride/HDL-C. An increasing ApoB to Apo A-1 ratio represents an increasing trend
towards cardiovascular risk due to a relative increase in atherogenic ApoB or a decrease in protective Apo A-I. A

decreased ApoB to Apo A-1 ratio represents a decrease in cardiovascular risk due to a relative decrease in atherogenic ApoB
or an increase in protective Apo A-1","The ratio of ApoB to Apo A-1is strongly related to an increased risk of myocardial infarction and stroke, as well as other
cardiovascular dysfunction.",0,0.77,0,0.77,0,0.6,0,0.6,ratio,ratio,"Cardiovascular disease decrease
A low/desirable ApoB/Apo A. ratio represents decreased atherogenic ApoB and a relative increase in protective Apo A-1","Atherosclerotic plaque
An elevated ApoB/Apo A-| ratio is associated with early, subclinical development of atherosclerosis as well as dangerous
unstable plaque.

Cardiovascular disease risk increase
An elevated ratio of ApoB to Apo A- represents a relative increase in atherogenic ApoB as compared to protective Apo A]
An elevated ApoB/Apo A. ratio is considered the best lipoprotein-related predictor of coronary risk currently available. It is,
especially relevant when LDL cholesterol levels are below 139 mg/dL (3.6 mmol/L).

Metabolic syndrome
Research suggests that an elevated ApoB/Apo A-1 ratio may be predictive of increased risk of metabolic syndrome in those
with a ratio greater than 0.85 in men and 0.80 in women.

Rheumatoid arthritis
An elevated ApoB/Apo A-1 ratio indicates an increased risk of cardiovascular events in RA patients. It is noted that Apo A1
possesses antiinflammatory properties, an especially important factor in this population.

Statin therapy monitoring
Utilization of the ApoB/Apo A-1 ratio provides a better tool for assessing statin therapy effectiveness than monitoring LDL
cholesterol.",,,,,,"Levels of Apo B may be decreased with the use of estrogen (in post-menopausal women),
lovastatin, simvastatin, niacin, and thyroxine. This may cause a falsely altered ApoB to Apo Al ratio.",
Apolipoprotein A-1,"Apolipoprotein A-1 is the major component of HDL Cholesterol. Evaluation of Apo A-1 levels can help determine cardiovascular
risk in those with reduced levels of HDL, increased cholesterol and increased triglycerides. Elevated levels of Apolipoprotein Al
are predictive of a lowered incidence of cardiovascular disease.","Apolipoproteins are a surface protein component of lipoprotein complexes; they facilitate transportation of lipids through the
blood.

Apolipoprotein A-1 represents 60-70% of the protein content of HDL and plays a crucial role in transporting cholesterol from
peripheral tissues to the liver for processing and degradation.

Evaluation of Apo A-1 levels can help determine cardiovascular risk in those with reduced levels of HDL, increased cholesterol
and triglycerides, and those with a family history of cardiovascular disease.

Levels tend to follow HDL levels and may be monitored over time to help assess response to lifestyle changes or medication
intervention.

Elevated levels of apolipoprotein A-1 are believed to be a greater predictor for a lower incidence of cardiovascular disease than
HDL alone. Studies have shown that Apolipoprotein A-1 is the best predictor of family history of myocardial infarction in young,
men.

‘Some would suggest that Apolipoprotein A-1 and B are much better markers for cardiovascular disease than traditional
studies.

id

The role of Apo A-1 in other areas, including cancer, is under investigation. Studies suggest a strong negative correlation
between Apo A-1 and markers of systemic inflammation including serum CRP and interleukin (IL)-8 levels, and blood
neutrophil count.",94,176,0.94,1.76,150,210,1.5,2.1,mg/dL,g/L,"Cardiovascular Disease 
A decreased Apolipoprotein Al, especially with an elevated Apolipoprotein B (Apo B) level, is predictive of an increased risk of premature cardiovascular disease. 
Inflammation 
Low Apo A-1 may be associated with systemic inflammation. ","Reduced cardiovascular risk 
High levels of Apo A-1 are considered protective against cardiovascular disease. Elevated levels of Apolipoprotein Al are predictive of a lowered incidence of cardiovascular disease. 
Physical exercise 
Physical exercise may increase levels of Apo Al. ","• Hypertriglyceridemia 
• Poorly controlled diabetes
• Obesity
• Smoking 
• Nephrotic Syndrome
• Chronic liver disease
• Chronic kidney disease
• Genetic disorders may contribute to a deficiency of Apo A-1, therefore increasing the risk of heart disease
• Colorectal cancer advancement - Low Apo A-1 levels appear to be associated with advanced stage cancer ","• Pregnancy 
• Alcohol use",,,,"• Androgens 
• Beta Blockers
• Diuretics 
• Synthetic progesterone (progestins)","• Carbamazepine 
• Estrogens 
• Ethanol 
• Lovastatin
• Niacin 
• Oral contraceptives
• Phenobarbital 
• Pravastatin 
• Simvastatin "
Apolipoprotein B,Apolipoprotein B (also called Apolipoprotein B-100) is a protein constituent of lipoproteins such as VLDL and LDL,"Apolipoprotein B (Apo B) facilitates the transport of lipids through the bloodstream. Apo B combines with dietary lipids to form the triglyceride-rich lipoprotein called VLDL. Over time as it travels through the blood, VLDL ""drops off"" its triglyceride content to become the cholesterol-rich lipoprotein known as LDL. Apo B has been reported to be a powerful indicator of Coronary Artery Disease. Apo B levels tend to mirror LDL levels so will be elevated when LDL cholesterol is elevated. Evaluation of Apo B levels can help assess cardiovascular risk and factors underlying elevated triglycerides. The test also helps differentiate between Familial combined hyperlipidemia and familial hypertriglyceridemia. ",52,80,0.52,0.8,52,80,0.52,0.8,mg/dL,g/L,"Decreased lipoprotein metabolism

A reduction in lipoprotein synthesis or packaging in the liver can lead to decreased circulating Apo B.

Genetic disorder

A rare genetic condition called Apolipoprotein B deficiency (also known as Abetalipoproteinemia, or Bassen-Kornzweig
syndrome) can cause abnormally low levels of Apo B.

Hyperthyroidism

Hyperthyroidism may be a secondary cause of low levels of Apo B.

Malnutrition

Malnutrition may be a secondary cause of decreased Apo B levels.","Increased risk of CVD

Elevated Apo B corresponds to elevated LDL and non-HDL cholesterol with an associated increased risk of cardiovascular
disease.

Decreased LDL clearing

A reduction in the clearance of LDL from the bloodstream will lead to increased Apo B levels.
High-fat diet

A high-fat diet may promote increased levels of Apo B.

Diabetes

Diabetes can be a secondary cause of elevated Apo B.

Metabolic syndrome

Elevated Apo B correlates with increased risk of metabolic syndrome.

Hypothyroidism

Apo B levels may be elevated in hypothyroidism.",,,,,,"Levels of Apo B may be decreased with the use of estrogen (in post-menopausal women),
lovastatin, simvastatin, niacin, and thyroxine.",
AST,"AST is an enzyme present in highly metabolic tissues such as skeletal muscle, the liver, the heart, kidney, and lungs. This
enzyme is at times released into the bloodstream following cell damage or destruction. AST levels will be increased when liver
cells and/or heart muscle cells and/or skeletal muscle cells are damaged. The cause of the damage must be investigated. Low
levels are associated with a B6 deficiency.","Aspartate aminotransferase, or AST, is the enzyme that catalyzes the conversion of the amino acid L-aspartate and a-keto-
glutarate into oxaloacetate and L-glutamate, hence the older name SGOT or Serum Glutamate-Oxaloacetate Transaminase.
AST is functionally similar to ALT, however, in liver problems, it is not as increased as ALT. AST is more specific for the
detection of problems of cardiovascular origin than for biliary tree or liver problems. Levels originating from the liver are due
to damage to the hepatocytes or liver cells.

AST levels in the blood due to severe cellular damage will usually increase in 12 hours and remain elevated for about 5 days.
In acute episodes, the AST levels will return to normal in 3-6 days.",10,35,10,35,10,26,10,26,IU/L,IU/L,"B6 Deficiency

B6 deficiency is likely if there is a decreased AST and a concomitant deficiency in GGT and/or ALT, enzymes that also need B6
for optimum activity. B6 deficiency can also impact red blood cell activity leading to a decreased MCV/MCH and a normal
serum iron and ferritin level. This situation leads to B6 deficiency anemia.","Dysfunction located outside the liver and biliary tree

If the AST is increased above the levels of the ALT and GGT consider that the problem or area of involvement is possible
outside the liver and biliary tree (i.e. the heart, gall bladder, common bile duct, and pancreas).

A developing congestive heart problem

An increased AST level can be an important clue to a developing congestive heart problem. Congestive heart disease (CHF) is
a very common cardiovascular disease so its helpful to use Functional Blood Chemistry Analysis to catch it before it fully
develops. If the AST is increased higher than an accompanying ALT increase with a normal to increased GGT, increased alkaline
phosphatase and a decreased CO2 consider the possibility of a developing congestive heart problem. It is more likely if the
patient also has an increased ESR, a normal to increased globulin and LDH, and an increased uric acid.

Cardiovascular insufficiency

Consider cardiovascular insufficiency if the AST is increased higher than an accompanying ALT increase with an increased CO2
and uric acid.

Liver dysfunction

An increased AST is associated with liver dysfunction. Dysfunction in the liver may cause an increase in AST from hepatocytes.
You may also see a rise in ALT as well.

Acute Myocardial Infarct

With a suspected or an acute MI, the AST is increased 4-10 times above the reference range, peaking after 24 hours and
normalizing after 3-4 days. Secondary rises in AST levels suggest a recurring MI or continued infarction.

Liver cell damage

Liver damage due to active cellular destruction (i.e. chronic/acute hepatitis, active cirrhosis, infectious mononucleosis, hepatic
necrosis, alcoholic hepatitis) will usually result in AST values 10-100 times above reference range.

Excessive muscle breakdown or turnover

AST is present in high concentrations in tissues with high metabolic activity, such as skeletal muscle. Conditions or situations
that cause cellular damage to skeletal muscle cells may cause an increased AST level (i.e. weight training injuries, trauma to
skeletal muscle, polymyositis).   Infectious mononucleosis, Epstein Barr and Cytomegalovirus

AST levels are usually elevated way above the normal reference level about 5-14 days after the onset of illness. Alkaline
phosphatase levels will also be elevated. LDH levels are usually elevated in about 95% of cases of. You may expect the
following changes: decreased WBCs in the first week, increased WBCs by 2nd week of illness, increased GGT (about 7-21 days
after onset of illness).","• Protein deficiency
• Gonadal hypofunction
• Malabsorption
• Kidney failure","• Free radical pathology
• Biliary dysfunction
• Asthma
• Metastatic cancer
• Acute and chronic pancreatitis
• Alcoholism",• Salicylates and alcohol,"• Slight decreases during pregnancy because of abnormal metabolism of pyridoxine
• Salicylates and alcohol",,,
AST : ALT,"The AST:ALT ratio, also known as the De Ritis ratio, provides a tool for assessing and monitoring liver function and the
progression and the severity of liver disease. An increasing AST:ALT ratio above 1 is associated with a trend towards
progressive impairment of liver function","Assessing AST:ALT ratio can assist in grading the severity of disease in patients with chronic liver disease including alcoholic
liver disease and chronic hepatitis.

Increasing elevation of the AST:ALT ratio occurs as scarring and fibrosis occur due to tissue damage. Long-term alcohol
consumption is associated with increased AST/ALT ratio once liver damage has set in.

An increasing ratio of AST to ALT ratio above 1is associated with progressive impairment of liver function and associated
complications such as cirrhosis. An AST:ALT ratio of less than 1 was associated with less severe liver disease.

The AST:ALT ratio may become elevated >1 in cirrhosis, muscle damage, biliary obstruction, and Wilson’s disease.",0,1.5,0,1.5,0,1,0,1,ratio,ratio,"Vitamin B6 deficiency
Deficiency of vitamin B6/pyridoxal-5’-phosphate may be reflected in low AST levels and a reduced AST/ALT ratio. Vitamin B6
is required for both AST and ALT synthesis, though the half-life of AST is shorter than that of ALT.","Liver dysfunction

An AST/ALT ratio of 1 or more is significantly correlated with a reduction in hepatic detoxification and excretion capacity as
measured by the moncethylglycinexylidide (MEGX) test. The greater the AST/ALT ratio, the poorer the liver function.

Muscle damage

An elevated AST/ALT ratio above 1.67 is seen in the event of muscle damage as AST is found in significantly higher levels in
muscle than ALT is. Associated elevation in AST/ALT from muscle damage may be observed in critical limb ischemia (CLI) from
peripheral arterial occlusive disease (PAOD), myocardial infarction, rhabdomyolysis, and even strenuous exercise.

Biliary obstruction

In biliary obstruction, an AST/ALT ratio of greater than 1.5 suggests that intrahepatic cholestasis is likely while an AST/ALT ratio
of <1.5 suggests extrahepatic obstruction.

Cirrhosis

A ratio greater than 1 indicates cirrhosis has begun to develop; a ratio greater than 2 suggests the presence of alcoholic liver
disease, and a ratio of greater than 3 strongly suggests active alcoholic liver disease. The ratio may increase due to liver
fibrosis or reduced clearance of AST by specialized liver cells called sinusoidal cells.

Alcoholic liver disease

AST/ALT ratio is >1 in 92% of patients with alcoholic liver disease, and >2 in 70%. A ratio of greater than 3 is strongly
suggestive of advanced alcoholic liver disease.

Wilson’s disease

An elevated AST/ALT ratio is observed in Wilson's disease, a genetic liver disease associated with a build-up of copper in the
liver.","• Hepatitis - The AST/ALT ratio will be lower in toxic hepatitis, viral hepatitis, chronic active hepatitis, and
cholestatic hepatitis as ALT levels exceed AST in the serum. If liver damage or cirrhosis occurs, then the
ASTAALT ratio can increase.
• Insulin resistance, metabolic syndrome - A low AST/ALT ratio below 1 is inversely correlated with the
incidence of insulin resistance and metabolic syndrome. Metabolic syndrome, in turn, is often associated
with non-alcoholic fatty liver disease which is also characterized by a low AST/ALT ratio unless liver
fibrosis begins to develop.
• Non-alcoholic fatty liver disease (NAFLD) without fibrosis - An AST/ALT ratio below 1 may be seen in
patients with NAFLD in whom cirrhosis has not developed. The AST/ALT ratio is incorporated into a
comprehensive NAFLD fibrosis score.","• Polycythemia
• Influenza
• Thyroid hypofunction
• Endocrine problems
• Chronic hemolytic anemia",,• Hemodialysis - The AST/ALT ratio may be low in hemodialysis patients due to the removal of AST bydialysis or due to vitamin B6 deficiency that is associated with hemodialysis.,,,"Drug-induced hepatotoxicity - Pharmaceutical medications can cause hepatotoxicity and significantly
increase AST levels and AST/ALT ratio. Drugs can increase ALT as well but increase AST by a greater
margin. Associated drugs include acetaminophen, isoniazid, phenothiazines, erythromycin, progesterone,
anabolic-androgenic steroids, halothane, methyldopa, opiates, indomethacin, salicylates in children, and
other drugs."
